年份,笔数,已平仓,胜率%,累计盈亏,累计盈亏%,平均盈亏%,最佳%,最差%,平均持天,涉及股票数
2022,6,6,50.0,-49167,-25.7,-4.3,6.9,-14.3,92,6
2023,9,9,22.2,-70138,-39.2,-4.4,27.0,-14.3,96,9
2024,20,20,45.0,214993,139.4,7.0,63.9,-30.5,81,18
2025,16,16,56.2,404846,197.2,12.3,107.0,-27.0,76,16
2026,8,5,37.5,302115,115.3,14.4,157.3,-13.9,63,8
合计,59,56,44.1,802649,80.3,6.6,157.3,-30.5,80,49

,,,,,,,,,,
年份,起始权益,年末权益,年内收益%,年内峰值,年内回撤%
2022-1,1000000,911537,-8.8,1037103,-14.1
2023-1,918160,950308,+3.5,1044902,-13.8
2024-1,939157,1044460,+11.2,1221980,-37.8
2025-1,1042756,1452817,+39.3,1565655,-43.5
2026-1,1455561,1802649,+23.8,1851976,-26.1

,,,,,,,,,,
买入日期,卖出日期,股票,买入价,卖出价,盈亏%,盈亏额,持天,买入原因,卖出原因
2022-09-15,2023-02-03,精测电子,5.05,5.22,+3.4,6732,141,广度22%恐慌|低于MA60-10.4%超跌|5日-7.2%,持仓90天到期(盈3.4%)
2022-09-15,2022-09-26,华通线缆,16.06,14.11,-12.1,-24180,11,广度22%恐慌|低于MA60-13.4%超跌|5日-2.4%,止损(-12.1%)
2022-09-15,2022-12-13,TCL中环,44.81,38.59,-13.9,-27368,89,广度22%恐慌|低于MA60-8.8%超跌|5日-3.1%,止损(-13.9%)
2022-09-15,2023-02-03,东微半导,45.01,48.13,+6.9,13728,141,广度22%恐慌|低于MA60-15.7%超跌|5日-3.0%,持仓90天到期(盈6.9%)
2022-09-15,2023-02-03,纳微科技,84.71,88.38,+4.3,8441,141,广度22%恐慌|低于MA60-8.8%超跌|5日-3.6%,持仓90天到期(盈4.3%)
2022-09-26,2022-10-25,东方财富,18.14,15.54,-14.3,-26520,29,广度11%恐慌|低于MA60-17.6%超跌|5日-7.7%,止损(-14.3%)
2023-06-26,2023-10-18,德业股份,128.34,110.03,-14.3,-25634,114,广度15%恐慌|低于MA60-20.3%超跌|5日-7.1%,止损(-14.3%)
2023-06-26,2023-08-25,中科信息,17.07,15.01,-12.1,-22866,60,广度15%恐慌|低于MA60-11.5%超跌|5日-1.2%,止损(-12.1%)
2023-06-26,2023-11-07,山西汾酒,195.60,248.43,+27.0,47547,134,广度15%恐慌|低于MA60-13.0%超跌|5日-3.4%,持仓90天到期(盈27.0%)
2023-06-26,2023-08-16,振华科技,56.00,48.75,-12.9,-23925,51,广度15%恐慌|低于MA60-9.2%超跌|5日-7.7%,止损(-12.9%)
2023-06-26,2023-10-20,珠海港,18.83,16.54,-12.2,-22900,116,广度15%恐慌|低于MA60-29.5%超跌|5日-3.0%,止损(-12.2%)
2023-09-14,2024-01-29,深信服,28.69,27.16,-5.3,-9486,137,广度15%恐慌|低于MA60-10.3%超跌|5日-7.2%,持仓90天到期(盈-5.3%)
2023-09-14,2024-01-03,北方华创,75.25,88.16,+17.2,29693,111,广度15%恐慌|低于MA60-17.5%超跌|5日-2.5%,移动止盈(高104.20回-15.4%)
2023-10-19,2024-01-17,康龙化成,144.25,125.14,-13.2,-21021,90,广度9%恐慌|低于MA60-9.5%超跌|5日-2.9%,止损(-13.2%)
2023-10-20,2023-12-13,万华化学,85.00,73.66,-13.3,-21546,54,广度21%恐慌|低于MA60-8.8%超跌|5日-2.7%,止损(-13.3%)
2024-01-08,2024-01-30,赛力斯,67.39,58.80,-12.7,-24052,22,广度9%恐慌|低于MA60-13.4%超跌|5日-2.6%,止损(-12.7%)
2024-01-08,2024-02-05,沪硅产业,122.09,103.03,-15.6,-28590,28,广度9%恐慌|低于MA60-8.6%超跌|5日-5.3%,止损(-15.6%)
2024-01-08,2024-05-28,东方财富,13.07,12.53,-4.1,-7884,141,广度9%恐慌|低于MA60-9.7%超跌|5日-4.9%,持仓90天到期(盈-4.1%)
2024-01-22,2024-02-05,中科信息,13.76,11.79,-14.3,-21276,14,广度15%恐慌|低于MA60-14.4%超跌|5日-1.3%,止损(-14.3%)
2024-01-30,2024-06-20,赛力斯,16.00,18.21,+13.8,22984,142,广度9%恐慌|低于MA60-12.6%超跌|5日-7.4%,持仓90天到期(盈13.8%)
2024-01-30,2024-02-05,华通线缆,33.56,29.34,-12.6,-20678,6,广度9%恐慌|低于MA60-19.4%超跌|5日-6.1%,止损(-12.6%)
2024-02-05,2024-03-29,赛力斯,56.10,87.00,+55.1,77250,53,广度7%恐慌|低于MA60-21.0%超跌|5日-7.6%,移动止盈(高104.76回-17.0%)
2024-02-05,2024-03-27,通富微电,18.52,21.80,+17.7,25256,51,广度7%恐慌|低于MA60-16.2%超跌|5日-6.8%,移动止盈(高26.20回-16.8%)
2024-02-05,2024-06-26,深信服,26.98,38.20,+41.6,58344,142,广度7%恐慌|低于MA60-17.0%超跌|5日-7.9%,持仓90天到期(盈41.6%)
2024-04-16,2024-07-23,纳芯科技,33.50,29.40,-12.2,-23780,98,广度25%恐慌|低于MA60-14.7%超跌|5日-6.7%,止损(-12.2%)
2024-04-16,2024-06-05,纳芯科技,78.54,54.57,-30.5,-57528,50,广度25%恐慌|低于MA60-12.4%超跌|5日-5.7%,止损(-30.5%)
2024-06-06,2024-08-22,星宸科技,36.71,31.46,-14.3,-22575,77,广度11%恐慌|低于MA60-8.4%超跌|5日-2.1%,止损(-14.3%)
2024-06-06,2024-08-22,中迅科技,32.88,28.77,-12.5,-19728,77,广度11%恐慌|低于MA60-10.6%超跌|5日-2.7%,止损(-12.5%)
2024-07-04,2024-10-16,药明康德,37.60,48.96,+30.2,59072,104,广度24%恐慌|低于MA60-10.2%超跌|5日-3.8%,移动止盈(高57.60回-15.0%)
2024-07-04,2024-11-15,深科技,12.54,19.41,+54.8,107859,134,广度24%恐慌|低于MA60-15.6%超跌|5日-6.4%,移动止盈(高24.07回-19.4%)
2024-07-24,2024-11-25,赛力斯,74.04,121.35,+63.9,108813,124,广度9%恐慌|低于MA60-12.8%超跌|5日-2.0%,移动止盈(高144.43回-16.0%)
2024-11-15,2025-04-01,山东黄金,24.84,26.56,+6.9,14448,137,广度7%恐慌|低于MA60-8.9%超跌|5日-3.9%,持仓90天到期(盈6.9%)
2024-11-15,2024-12-30,迈瑞医疗,37.43,32.49,-13.2,-27170,45,广度7%恐慌|低于MA60-10.4%超跌|5日-1.6%,止损(-13.2%)
2024-11-15,2025-04-01,中国平安,11.30,12.41,+9.8,20424,137,广度7%恐慌|低于MA60-8.3%超跌|5日-2.0%,持仓90天到期(盈9.8%)
2024-11-18,2024-12-31,驰宏锌锗,18.02,15.80,-12.3,-26196,43,广度15%恐慌|低于MA60-8.0%超跌|5日-1.6%,止损(-12.3%)
2025-01-02,2025-01-06,孚能科技,14.54,12.67,-12.9,-27489,4,广度10%恐慌|低于MA60-19.9%超跌|5日-7.2%,止损(-12.9%)
2025-01-02,2025-04-07,华大智造,37.17,27.23,-26.7,-56658,95,广度10%恐慌|低于MA60-10.0%超跌|5日-6.6%,止损(-26.7%)
2025-01-02,2025-02-28,派能科技,113.47,96.04,-15.4,-31374,57,广度10%恐慌|低于MA60-10.4%超跌|5日-5.3%,止损(-15.4%)
2025-03-24,2025-04-08,中兴通讯,34.89,30.36,-13.0,-24009,15,广度17%恐慌|低于MA60-10.7%超跌|5日-6.8%,止损(-13.0%)
2025-03-24,2025-04-07,中微公司,102.88,75.10,-27.0,-50004,14,广度17%恐慌|低于MA60-10.8%超跌|5日-1.5%,止损(-27.0%)
2025-05-23,2025-09-29,万华化学,56.08,65.94,+17.6,31552,129,广度15%恐慌|低于MA60-9.7%超跌|5日-2.2%,持仓90天到期(盈17.6%)
2025-05-23,2025-09-04,鹏鼎控股,136.13,173.28,+27.3,48295,104,广度15%恐慌|低于MA60-8.2%超跌|5日-3.8%,移动止盈(高210.10回-17.5%)
2025-05-23,2025-09-29,深信服,31.30,64.80,+107.0,190950,129,广度15%恐慌|低于MA60-12.4%超跌|5日-2.7%,持仓90天到期(盈107.0%)
2025-05-23,2025-09-29,斯达半导,20.97,32.60,+55.5,100018,129,广度15%恐慌|低于MA60-10.3%超跌|5日-2.4%,持仓90天到期(盈55.5%)
2025-05-23,2025-09-29,华通线缆,53.32,54.65,+2.5,4389,129,广度15%恐慌|低于MA60-8.8%超跌|5日-5.0%,持仓90天到期(盈2.5%)
2025-10-17,2025-11-21,广宝股份,20.75,17.82,-14.1,-36039,35,广度20%恐慌|低于MA60-12.6%超跌|5日-3.6%,止损(-14.1%)
2025-10-17,2026-02-24,分众传媒,16.16,21.78,+34.8,88796,130,广度20%恐慌|低于MA60-14.8%超跌|5日-4.8%,移动止盈(高27.22回-20.0%)
2025-10-17,2025-11-04,韦尔股份,69.15,76.36,+10.4,26677,18,广度20%恐慌|低于MA60-13.1%超跌|5日-7.7%,移动止盈(高89.95回-15.1%)
2025-10-17,2025-12-16,芯源微,95.70,125.65,+31.3,77870,60,广度20%恐慌|低于MA60-8.2%超跌|5日-7.0%,移动止盈(高148.01回-15.1%)
2025-10-17,2026-03-04,拓普集团,81.52,73.23,-10.2,-25699,138,广度20%恐慌|低于MA60-10.1%超跌|5日-7.6%,持仓90天到期(盈-10.2%)
2025-11-19,2025-12-16,中兴通讯,153.21,199.30,+30.1,87571,27,广度23%恐慌|低于MA60-9.3%超跌|5日-7.8%,移动止盈(高240.15回-17.0%)
2026-03-03,2026-04-02,赛力斯,102.40,89.08,-13.0,-41292,30,广度21%恐慌|低于MA60-10.0%超跌|5日-2.8%,止损(-13.0%)
2026-03-03,2026-06-23,美的集团,7.12,7.38,+3.6,11622,112,广度21%恐慌|低于MA60-8.6%超跌|5日-2.1%,期末持仓
2026-03-03,2026-03-20,金山办公,288.40,252.70,-12.4,-39270,17,广度21%恐慌|低于MA60-8.3%超跌|5日-4.6%,止损(-12.4%)
2026-03-03,2026-06-10,鼎盈科技,35.07,30.20,-13.9,-43830,99,广度21%恐慌|低于MA60-8.0%超跌|5日-7.2%,止损(-13.9%)
2026-03-20,2026-05-28,中国平安,59.74,52.47,-12.2,-30534,69,广度9%恐慌|低于MA60-8.4%超跌|5日-1.6%,止损(-12.2%)
2026-03-20,2026-05-26,赤峰黄金,14.51,16.25,+12.0,30450,67,广度9%恐慌|低于MA60-8.3%超跌|5日-4.4%,移动止盈(高19.53回-16.8%)
2026-04-03,2026-06-23,寒武纪,249.10,640.99,+157.3,431079,81,广度16%恐慌|低于MA60-12.0%超跌|5日-5.7%,期末持仓
2026-05-27,2026-06-23,贵州茅台,1303.00,1222.45,-6.2,-16110,27,广度24%恐慌|低于MA60-9.4%超跌|5日-3.8%,期末持仓
